country,date_start,best,,,,
Ukraine,2022-02-24 00:00:00.000,3,,,,
Ukraine,2022-02-24 00:00:00.000,30,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,7,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,5,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,63,,,,
Ukraine,2022-02-25 00:00:00.000,1,,,,
Ukraine,2022-02-25 00:00:00.000,1,,,,
Ukraine,2022-02-25 00:00:00.000,1,,,,
Ukraine,2022-02-25 00:00:00.000,2,,,,
Ukraine,2022-02-25 00:00:00.000,2,,,,
Ukraine,2022-02-26 00:00:00.000,1,,,,
Ukraine,2022-02-26 00:00:00.000,1,,,,
Ukraine,2022-02-26 00:00:00.000,10,,,,
Ukraine,2022-02-26 00:00:00.000,1,,,,
Ukraine,2022-02-27 00:00:00.000,6,,,,
Ukraine,2022-02-27 00:00:00.000,131,,,,
Ukraine,2022-02-27 00:00:00.000,1,,,,
Ukraine,2022-02-27 00:00:00.000,3,,,,
Ukraine,2022-02-27 00:00:00.000,1,,,,
Ukraine,2022-02-28 00:00:00.000,1,,,,
Ukraine,2022-02-28 00:00:00.000,1,,,,
Ukraine,2022-02-28 00:00:00.000,5,,,,
Ukraine,2022-02-28 00:00:00.000,1,,,,
Ukraine,2022-02-28 00:00:00.000,4,,,,
Ukraine,2022-02-28 00:00:00.000,1,,,,
Ukraine,2022-02-28 00:00:00.000,3,,,,
Ukraine,2022-02-28 00:00:00.000,1,,,,
Ukraine,2022-03-01 00:00:00.000,1,,,,
Ukraine,2022-03-01 00:00:00.000,1,,,,
Ukraine,2022-03-01 00:00:00.000,1,,,,
Ukraine,2022-03-01 00:00:00.000,1,,,,
Ukraine,2022-03-01 00:00:00.000,2,,,,
Ukraine,2022-03-01 00:00:00.000,2,,,,
Ukraine,2022-03-01 00:00:00.000,3,,,,
Ukraine,2022-03-01 00:00:00.000,2,,,,
Ukraine,2022-03-01 00:00:00.000,1,,,,
Ukraine,2022-03-02 00:00:00.000,3,,,,
Ukraine,2022-03-02 00:00:00.000,2,,,,
Ukraine,2022-03-02 00:00:00.000,1,,,,
Ukraine,2022-03-02 00:00:00.000,338,,,,
Ukraine,2022-03-02 00:00:00.000,1,,,,
Ukraine,2022-03-03 00:00:00.000,2,,,,
Ukraine,2022-03-03 00:00:00.000,1,,,,
Ukraine,2022-03-03 00:00:00.000,1,,,,
Ukraine,2022-03-03 00:00:00.000,2,,,,
Ukraine,2022-03-03 00:00:00.000,2,,,,
Ukraine,2022-03-03 00:00:00.000,3,,,,
Ukraine,2022-03-03 00:00:00.000,3,,,,
Ukraine,2022-03-03 00:00:00.000,1,,,,
Ukraine,2022-03-03 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,3,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,2,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-04 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,4,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,8,,,,
Ukraine,2022-03-05 00:00:00.000,2,,,,
Ukraine,2022-03-05 00:00:00.000,3,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,1,,,,
Ukraine,2022-03-05 00:00:00.000,2,,,,
Ukraine,2022-03-05 00:00:00.000,2,,,,
Ukraine,2022-03-06 00:00:00.000,1,,,,
Ukraine,2022-03-06 00:00:00.000,3,,,,
Ukraine,2022-03-07 00:00:00.000,1,,,,
Ukraine,2022-03-07 00:00:00.000,1,,,,
